1, 200 2 40 12 12;
2, 250 2 65 5 13;
3, 260 2 65 8 14;
4, 480 2 60 1 7;
5, 350 2 55 8 9;
6, 480 2 80 2 5;
7, 150 2 75 3 5;
8, 680 2 45 4 5;
9, 480 3 110 13 15;
10, 480 2 65 4 5;
11, 500 3 75 2 9;
12, 800 4 170 10 19;
13, 400 3 80 3 5;
14, 520 3 70 3 5;
15, 440 3 80 12 13;
16, 450 2 60 2 5;
17, 150 1 20 2 7;
18, 440 3 70 3 10;
19, 440 3 50 5 5;
20, 300 1 30 2 8;
21, 600 5 160 3 12;
22, 880 3 107 5 7;
23, 640 3 90 2 5;
24, 250 2 48 7 9;
25, 250 3 75 5 5;
26, 280 3 63 6 9;
27, 1200 4 172 5 8;
28, 250 1 30 4 5;
29, 180 3 75 1 5;
30, 360 3 102 3 6;
31, 400 2 60 8 8;
32, 400 3 70 2 3;
33, 360 3 65 2 5;
34, 360 3 72 3 9;
35, 1320 3 130 5 8;
36, 360 2 73 3 11;
37, 1320 3 130 5 8;
38, 420 3 70 3 7;
39, 350 2 60 2 5;
40, 160 1 40 4 5;
41, 350 2 55 5 11;
42, 150 3 70 1 5;
43, 760 4 100 12 12;
44, 440 4 160 14 16;
45, 380 3 116 3 12;
46, 480 2 65 17 18;
47, 400 2 60 6 17;
48, 250 2 43 4 4;
50, 480 3 110 11 14;
51, 550 2 68 4 14;
52, 270 3 64 2 9;
53, 300 2 70 1 5;
54, 280 3 101 4 5;
56, 420 2 57 5 5;
57, 230 2 46 4 5;
58, 400 2 63 10 12;
59, 280 3 90 5 5;
60, 400 2 65 1 5;
61, 200 2 40 12 12;
62, 250 2 65 5 13;
63, 260 2 65 8 14;
64, 150 2 75 3 5;
65, 150 1 20 2 7;
66, 300 1 30 2 8;
67, 600 4 160 3 12;
68, 880 3 107 5 7;
69, 640 3 90 2 5;
70, 180 3 75 1 5;
71, 1320 3 130 5 8;
72, 150 3 70 1 5;
73, 400 2 75 4 5;
74, 360 2 41 2 5;
75, 150 3 76 1 4;
76, 260 1 40 14 14;
77, 180 2 65 6 9;
78, 320 3 80 4 9;
79, 440 2 60 8 16;
80, 350 2 76 2 5;
81, 320 2 46 4 9;
82, 100 1 50 5 5;
83, 300 1 35 1 5;
84, 100 4 80 2 3;
85, 310 1 31 3 3;
86, 600 3 70 3 4;
87, 920 3 80 7 8;
88, 520 4 110 1 3;
89, 250 1 25 1 2;
90, 520 3 80 4 18;
91, 550 2 120 9 13;
92, 450 2 43 7 10;
93, 850 6 164 5 5;
94, 350 3 73 3 5;
95, 720 2 90 6 19;
96, 500 2 80 14 14;
97, 400 3 95 2 7;
98, 520 3 128 3 6;
99, 420 2 75 10 13;
100, 180 1 44 3 9;
